region,dset,dataset
"BR_car_closed",6,"Cardoso2008_closed"
"CR",51,"Pitilla1997"
"CR",56,"Pitilla2000"
"CR",61,"Pitilla2002"
"CR",66,"Pitilla2004"
"CR",71,"Pitilla2010"
"CO",76,"Guasca2001"
"CO",81,"Sisga2000"
"CO",86,"RioBlanco2012"
"CO",91,"RioBlanco2014"
"JAM",96,"DiscoveryBay1997"
"HON",101,"Cusuco2006"
"HON",106,"Cusuco2007"
"SABA",111,"Saba2009"
"PR",116,"ElVerde2010"
"PR",121,"ElVerde1993"
"PR",126,"ElVerde1994"
"PR",131,"ElVerde1997"
"DOM",136,"Dominica2002"
"BR_mac",141,"Macae2008"
"BR_car_open",146,"Cardoso2011"
"BR_pic",151,"Picinguaba2011"
"BR_jur",156,"Jureia2013"
"BR_s_do",161,"SerraDoJapi2011"
"AR",166,"LasGamas2010"
"AR",171,"LasGamas2012"
"BR_car",176,"IlhaCardoso2011"
"AR",181,"LasGamas2013"
"FG_ps",186,"PetitSaut2007"
"FG_Kaw",191,"Kaw2008"
"FG_ps",196,"PetitSaut2008"
"FG_nour",201,"Nouragues2006"
"FG_nour",206,"Nouragues2009"
"FG_sin",211,"Sinnamary2011"
"FG_ps",216,"PetitSaut2014"
"PR",221,"ElVerde1996"
"PR",231,"Sonadora2004"